time_sec	queue_density
0.0666667	0.0685703
0.133333	0.0632284
0.2	0.0624514
0.266667	0.0666278
0.333333	0.0667249
0.4	0.0651709
0.466667	0.0706099
0.533333	0.0767288
0.6	0.0765346
0.666667	0.0784771
0.733333	0.0803225
0.8	0.0812937
0.866667	0.0847902
0.933333	0.0868298
1	0.0895493
1.06667	0.0889666
1.13333	0.0906177
1.2	0.090035
1.26667	0.0910062
1.33333	0.0914918
1.4	0.0937257
1.46667	0.0947941
1.53333	0.0942113
1.6	0.0971251
1.66667	0.0988733
1.73333	0.101593
1.8	0.103827
1.86667	0.104507
1.93333	0.106643
2	0.10742
2.06667	0.108489
2.13333	0.108974
2.2	0.109654
2.26667	0.110043
2.33333	0.109848
2.4	0.107712
2.46667	0.109946
2.53333	0.110237
2.6	0.111402
2.66667	0.111111
2.73333	0.112762
2.8	0.112762
2.86667	0.114996
2.93333	0.116064
3	0.116162
3.06667	0.115579
3.13333	0.11519
3.2	0.117521
3.26667	0.117036
3.33333	0.114705
3.4	0.117618
3.46667	0.119075
3.53333	0.120435
3.6	0.120824
3.66667	0.123155
3.73333	0.126845
3.8	0.128011
3.86667	0.131507
3.93333	0.13209
4	0.13209
4.06667	0.130633
4.13333	0.129468
4.2	0.127525
4.26667	0.127622
4.33333	0.125097
4.4	0.124806
4.46667	0.123155
4.53333	0.122183
4.6	0.122572
4.66667	0.119464
4.73333	0.117716
4.8	0.117716
4.86667	0.119658
4.93333	0.121018
5	0.12296
5.06667	0.123057
5.13333	0.123543
5.2	0.125097
5.26667	0.129565
5.33333	0.130925
5.4	0.134713
5.46667	0.136072
5.53333	0.14122
5.6	0.143939
5.66667	0.147922
5.73333	0.157051
5.8	0.158508
5.86667	0.164627
5.93333	0.169386
6	0.173854
6.06667	0.180556
6.13333	0.180458
6.2	0.182789
6.26667	0.182984
6.33333	0.1858
6.4	0.188228
6.46667	0.190365
6.53333	0.190851
6.6	0.191628
6.66667	0.190365
6.73333	0.188908
6.8	0.190268
6.86667	0.189782
6.93333	0.186772
7	0.186674
7.06667	0.182304
7.13333	0.184441
7.2	0.183081
7.26667	0.183664
7.33333	0.186772
7.4	0.18648
7.46667	0.187743
7.53333	0.192793
7.6	0.189782
7.66667	0.192308
7.73333	0.195027
7.8	0.197747
7.86667	0.196096
7.93333	0.196775
8	0.194056
8.06667	0.19493
8.13333	0.195221
8.2	0.19697
8.26667	0.195416
8.33333	0.192599
8.4	0.194833
8.46667	0.195513
8.53333	0.197358
8.6	0.199495
8.66667	0.199398
8.73333	0.201146
8.8	0.201535
8.86667	0.202506
8.93333	0.203283
9	0.203866
9.06667	0.205128
9.13333	0.20843
9.2	0.212315
9.26667	0.212121
9.33333	0.216006
9.4	0.217269
9.46667	0.215812
9.53333	0.215715
9.6	0.214646
9.66667	0.214064
9.73333	0.216686
9.8	0.215423
9.86667	0.214938
9.93333	0.214064
10	0.21319
10.0667	0.212413
10.1333	0.210859
10.2	0.210567
10.2667	0.207168
10.3333	0.205517
10.4	0.204545
10.4667	0.203671
10.5333	0.203768
10.6	0.202506
10.6667	0.202312
10.7333	0.201632
10.8	0.201146
10.8667	0.196678
10.9333	0.196873
11	0.195804
11.0667	0.196581
11.1333	0.196581
11.2	0.19697
11.2667	0.195998
11.3333	0.198621
11.4	0.196581
11.4667	0.198232
11.5333	0.196581
11.6	0.196193
11.6667	0.196775
11.7333	0.19765
11.8	0.195513
11.8667	0.197164
11.9333	0.197261
12	0.198232
12.0667	0.196387
12.1333	0.194444
12.2	0.19629
12.2667	0.194444
12.3333	0.193862
12.4	0.195804
12.4667	0.194833
12.5333	0.194833
12.6	0.193667
12.6667	0.193376
12.7333	0.193085
12.8	0.192308
12.8667	0.193376
12.9333	0.19289
13	0.192696
13.0667	0.194056
13.1333	0.19425
13.2	0.195027
13.2667	0.195319
13.3333	0.194639
13.4	0.195513
13.4667	0.194639
13.5333	0.194347
13.6	0.194736
13.6667	0.19357
13.7333	0.194153
13.8	0.194639
13.8667	0.19357
13.9333	0.194833
14	0.195513
14.0667	0.196193
14.1333	0.196096
14.2	0.196678
14.2667	0.195804
14.3333	0.195998
14.4	0.196484
14.4667	0.19629
14.5333	0.196193
14.6	0.196387
14.6667	0.196678
14.7333	0.196484
14.8	0.195513
14.8667	0.195221
14.9333	0.195221
15	0.194639
