time_sec	queue_density
0.0666667	0.0700277
0.133333	0.0673246
0.2	0.0672618
0.266667	0.0668846
0.333333	0.0673875
0.4	0.070342
0.466667	0.0712849
0.533333	0.0745537
0.6	0.0774453
0.666667	0.0809027
0.733333	0.0841715
0.8	0.0836686
0.866667	0.0845487
0.933333	0.0870631
1	0.0876289
1.06667	0.0886975
1.13333	0.0897033
1.2	0.0917149
1.26667	0.0935378
1.33333	0.091212
1.4	0.0939779
1.46667	0.0954865
1.53333	0.0973095
1.6	0.0973095
1.66667	0.0995097
1.73333	0.103407
1.8	0.104601
1.86667	0.107242
1.93333	0.107179
2	0.109127
2.06667	0.107682
2.13333	0.109756
2.2	0.110825
2.26667	0.110385
2.33333	0.109002
2.4	0.110322
2.46667	0.110322
2.53333	0.111893
2.6	0.11051
2.66667	0.112773
2.73333	0.115036
2.8	0.113842
2.86667	0.113465
2.93333	0.115602
3	0.117362
3.06667	0.117425
3.13333	0.116797
3.2	0.11818
3.26667	0.116357
3.33333	0.118997
3.4	0.120631
3.46667	0.1195
3.53333	0.1239
3.6	0.123586
3.66667	0.127294
3.73333	0.128363
3.8	0.12742
3.86667	0.1305
3.93333	0.132198
4	0.132889
4.06667	0.130375
4.13333	0.128677
4.2	0.12874
4.26667	0.129369
4.33333	0.127294
4.4	0.127357
4.46667	0.124843
4.53333	0.122957
4.6	0.122266
4.66667	0.120443
4.73333	0.118054
4.8	0.118997
4.86667	0.119625
4.93333	0.121134
5	0.121763
5.06667	0.123146
5.13333	0.123523
5.2	0.123774
5.26667	0.128866
5.33333	0.129809
5.4	0.133015
5.46667	0.136975
5.53333	0.139615
5.6	0.14213
5.66667	0.14829
5.73333	0.156336
5.8	0.158097
5.86667	0.165891
5.93333	0.17004
6	0.173309
6.06667	0.177332
6.13333	0.180287
6.2	0.180727
6.26667	0.182927
6.33333	0.181921
6.4	0.182864
6.46667	0.187201
6.53333	0.187956
6.6	0.187076
6.66667	0.18695
6.73333	0.186007
6.8	0.187013
6.86667	0.186573
6.93333	0.18343
7	0.182801
7.06667	0.179407
7.13333	0.183681
7.2	0.181607
7.26667	0.18343
7.33333	0.184184
7.4	0.185127
7.46667	0.185756
7.53333	0.189904
7.6	0.189716
7.66667	0.191162
7.73333	0.194179
7.8	0.19443
7.86667	0.19443
7.93333	0.194368
8	0.194116
8.06667	0.195059
8.13333	0.193488
8.2	0.19355
8.26667	0.196442
8.33333	0.194745
8.4	0.196128
8.46667	0.196253
8.53333	0.197825
8.6	0.198454
8.66667	0.198014
8.73333	0.197699
8.8	0.198956
8.86667	0.198956
8.93333	0.203357
9	0.201974
9.06667	0.205808
9.13333	0.20826
9.2	0.212283
9.26667	0.212409
9.33333	0.212095
9.4	0.215112
9.46667	0.215552
9.53333	0.215426
9.6	0.215615
9.66667	0.219952
9.73333	0.221461
9.8	0.220015
9.86667	0.216181
9.93333	0.21442
10	0.214483
10.0667	0.214735
10.1333	0.212975
10.2	0.213729
10.2667	0.213037
10.3333	0.211214
10.4	0.209957
10.4667	0.208323
10.5333	0.207631
10.6	0.206123
10.6667	0.209203
10.7333	0.207883
10.8	0.206877
10.8667	0.204425
10.9333	0.204991
11	0.202602
11.0667	0.202602
11.1333	0.202351
11.2	0.201597
11.2667	0.201974
11.3333	0.200277
11.4	0.200842
11.4667	0.198894
11.5333	0.200717
11.6	0.199585
11.6667	0.201785
11.7333	0.201471
11.8	0.200591
11.8667	0.197888
11.9333	0.198014
12	0.199334
12.0667	0.197825
12.1333	0.199648
12.2	0.199522
12.2667	0.198705
12.3333	0.198014
12.4	0.199019
12.4667	0.199459
12.5333	0.197825
12.6	0.196442
12.6667	0.196882
12.7333	0.196505
12.8	0.197511
12.8667	0.198328
12.9333	0.198454
13	0.198391
13.0667	0.197951
13.1333	0.198014
13.2	0.197951
13.2667	0.197636
13.3333	0.198014
13.4	0.198076
13.4667	0.197888
13.5333	0.198956
13.6	0.198579
13.6667	0.198391
13.7333	0.198328
13.8	0.199019
13.8667	0.199019
13.9333	0.198831
14	0.198894
14.0667	0.199082
