time_sec	queue_density
0.0666667	0.0702098
0.133333	0.0639161
0.2	0.0626573
0.266667	0.0665734
0.333333	0.0686713
0.4	0.0671329
0.466667	0.0699301
0.533333	0.0772028
0.6	0.0770629
0.666667	0.0777622
0.733333	0.0826573
0.8	0.0840559
0.866667	0.0858741
0.933333	0.0878322
1	0.0874126
1.06667	0.0885315
1.13333	0.0900699
1.2	0.0907692
1.26667	0.0924476
1.33333	0.0948252
1.4	0.0955245
1.46667	0.0972028
1.53333	0.0969231
1.6	0.0979021
1.66667	0.10028
1.73333	0.101538
1.8	0.102657
1.86667	0.106154
1.93333	0.107692
2	0.106014
2.06667	0.108392
2.13333	0.10951
2.2	0.107832
2.26667	0.108392
2.33333	0.11035
2.4	0.11007
2.46667	0.108392
2.53333	0.111189
2.6	0.109231
2.66667	0.111608
2.73333	0.113007
2.8	0.114406
2.86667	0.112727
2.93333	0.117622
3	0.117063
3.06667	0.113846
3.13333	0.117203
3.2	0.116503
3.26667	0.118601
3.33333	0.115664
3.4	0.121119
3.46667	0.121399
3.53333	0.124615
3.6	0.122657
3.66667	0.123077
3.73333	0.127552
3.8	0.13021
3.86667	0.132448
3.93333	0.132028
4	0.131469
4.06667	0.12993
4.13333	0.129231
4.2	0.127273
4.26667	0.126434
4.33333	0.123497
4.4	0.123497
4.46667	0.122238
4.53333	0.121399
4.6	0.120559
4.66667	0.118042
4.73333	0.117902
4.8	0.11958
4.86667	0.120699
4.93333	0.121538
5	0.121678
5.06667	0.121958
5.13333	0.121818
5.2	0.124196
5.26667	0.129231
5.33333	0.130629
5.4	0.134266
5.46667	0.134545
5.53333	0.137902
5.6	0.141538
5.66667	0.147832
5.73333	0.153427
5.8	0.158741
5.86667	0.164476
5.93333	0.171049
6	0.174685
6.06667	0.179301
6.13333	0.181678
6.2	0.181119
6.26667	0.182657
6.33333	0.187413
6.4	0.185594
6.46667	0.187832
6.53333	0.188252
6.6	0.18951
6.66667	0.19021
6.73333	0.192448
6.8	0.190909
6.86667	0.191189
6.93333	0.18965
7	0.190909
7.06667	0.187552
7.13333	0.185035
7.2	0.186434
7.26667	0.186573
7.33333	0.188531
7.4	0.18965
7.46667	0.189231
7.53333	0.191189
7.6	0.191469
7.66667	0.190769
7.73333	0.195944
7.8	0.198601
7.86667	0.194685
7.93333	0.195664
8	0.194965
8.06667	0.197063
8.13333	0.195664
8.2	0.194406
8.26667	0.194545
8.33333	0.195804
8.4	0.195664
8.46667	0.195944
8.53333	0.196364
8.6	0.200979
8.66667	0.198182
8.73333	0.199161
8.8	0.19958
8.86667	0.202098
8.93333	0.204196
9	0.207133
9.06667	0.207133
9.13333	0.20993
9.2	0.213287
9.26667	0.215245
9.33333	0.217483
9.4	0.216084
9.46667	0.220839
9.53333	0.215385
9.6	0.216643
9.66667	0.217203
9.73333	0.213287
9.8	0.216224
9.86667	0.215804
9.93333	0.214406
10	0.215664
10.0667	0.212727
10.1333	0.210629
10.2	0.211608
10.2667	0.213007
10.3333	0.212867
10.4	0.212448
10.4667	0.207552
10.5333	0.204755
10.6	0.203916
10.6667	0.206014
10.7333	0.204476
10.8	0.201678
10.8667	0.201678
10.9333	0.201399
11	0.199301
11.0667	0.201818
11.1333	0.202098
11.2	0.203497
11.2667	0.202098
11.3333	0.200839
11.4	0.200979
11.4667	0.200839
11.5333	0.201259
11.6	0.199161
11.6667	0.19958
11.7333	0.201119
11.8	0.197762
11.8667	0.198881
11.9333	0.19972
12	0.199161
12.0667	0.197762
12.1333	0.197622
12.2	0.197622
12.2667	0.195105
12.3333	0.197203
12.4	0.197063
12.4667	0.197203
12.5333	0.195105
12.6	0.195245
12.6667	0.195944
12.7333	0.196923
12.8	0.197622
12.8667	0.196643
12.9333	0.195664
13	0.195664
13.0667	0.196364
13.1333	0.198741
13.2	0.198601
13.2667	0.198601
13.3333	0.196783
13.4	0.197902
13.4667	0.199021
13.5333	0.197902
13.6	0.197762
13.6667	0.199021
13.7333	0.200559
13.8	0.201259
13.8667	0.19986
13.9333	0.198881
14	0.198741
14.0667	0.20014
14.1333	0.199021
14.2	0.198601
14.2667	0.197063
14.3333	0.195524
14.4	0.195245
14.4667	0.197902
14.5333	0.197622
14.6	0.198042
14.6667	0.196224
14.7333	0.195524
14.8	0.196084
14.8667	0.196224
14.9333	0.195804
15	0.195524
15.0667	0.195664
15.1333	0.196084
15.2	0.195385
15.2667	0.194825
15.3333	0.194126
15.4	0.195804
15.4667	0.195385
15.5333	0.195524
15.6	0.195804
15.6667	0.196643
15.7333	0.196503
15.8	0.197343
15.8667	0.195385
15.9333	0.195664
16	0.193846
16.0667	0.192448
16.1333	0.195524
16.2	0.194685
16.2667	0.196084
16.3333	0.194965
16.4	0.194126
16.4667	0.195944
16.5333	0.195804
16.6	0.195385
16.6667	0.196084
16.7333	0.193706
16.8	0.193007
16.8667	0.192308
16.9333	0.192308
17	0.192448
17.0667	0.194126
17.1333	0.192168
17.2	0.193287
17.2667	0.193706
17.3333	0.192587
17.4	0.193706
17.4667	0.193986
17.5333	0.193706
17.6	0.193566
17.6667	0.194406
17.7333	0.194266
17.8	0.194545
17.8667	0.193706
17.9333	0.192448
18	0.192168
18.0667	0.193427
18.1333	0.193287
18.2	0.192587
18.2667	0.191748
18.3333	0.193706
18.4	0.194825
18.4667	0.197063
18.5333	0.197483
18.6	0.197622
18.6667	0.199021
18.7333	0.201678
18.8	0.201818
18.8667	0.203916
18.9333	0.207692
19	0.207552
19.0667	0.206993
19.1333	0.208671
19.2	0.208811
19.2667	0.207552
