time_sec	Dynamic_density
0.0666667	0.0249154
0.133333	0.026091
0.2	0.0265978
0.266667	0.0257958
0.333333	0.0213389
0.4	0.0269492
0.466667	0.0289295
0.533333	0.0259564
0.6	0.0275723
0.666667	0.0325935
0.733333	0.0269949
0.8	0.0303598
0.866667	0.0315419
0.933333	0.0296518
1	0.030028
1.06667	0.0252602
1.13333	0.0212801
1.2	0.0241447
1.26667	0.0317849
1.33333	0.0296361
1.4	0.0284213
1.46667	0.025801
1.53333	0.0339141
1.6	0.0268368
1.66667	0.0309019
1.73333	0.0365031
1.8	0.0321062
1.86667	0.0417881
1.93333	0.0362444
2	0.0363751
2.06667	0.0292443
2.13333	0.0381529
2.2	0.0377545
2.26667	0.0393703
2.33333	0.0399072
2.4	0.0388125
2.46667	0.0336541
2.53333	0.0370726
2.6	0.0355874
2.66667	0.0340656
2.73333	0.0358068
2.8	0.0311488
2.86667	0.0332257
2.93333	0.0544627
3	0.0351629
3.06667	0.0357807
3.13333	0.0321232
3.2	0.03861
3.26667	0.0351498
3.33333	0.018533
3.4	0.0251283
3.46667	0.023182
3.53333	0.0221304
3.6	0.0253843
3.66667	0.0251244
3.73333	0.0129423
3.8	0.0252537
3.86667	0.020384
3.93333	0.0213166
4	0.0191705
4.06667	0.0211599
4.13333	0.0125779
4.2	0.0168467
4.26667	0.0100516
4.33333	0.00844097
4.4	0.0093057
4.46667	0.00973154
4.53333	0.00885505
4.6	0.0280712
4.66667	0.0267585
4.73333	0.0166337
4.8	0.0235908
4.86667	0.013666
4.93333	0.0199085
5	0.0190072
5.06667	0.0122696
5.13333	0.0139742
5.2	0.0230605
5.26667	0.0172124
5.33333	0.0357977
5.4	0.0176853
5.46667	0.0206361
5.53333	0.0202338
5.6	0.0203487
5.66667	0.0246567
5.73333	0.0269622
5.8	0.0241525
5.86667	0.0253438
5.93333	0.029866
6	0.0294859
6.06667	0.0300959
6.13333	0.0288681
6.2	0.0294951
6.26667	0.0449845
6.33333	0.0357102
6.4	0.0299744
6.46667	0.0289203
6.53333	0.0307282
6.6	0.0300855
6.66667	0.0282672
6.73333	0.030416
6.8	0.0292874
6.86667	0.0324132
6.93333	0.0342302
7	0.0297772
7.06667	0.0324511
7.13333	0.0376082
7.2	0.0330755
7.26667	0.0326849
7.33333	0.0327241
7.4	0.0351106
7.46667	0.0353118
7.53333	0.0428188
7.6	0.036733
7.66667	0.0363973
7.73333	0.0382417
7.8	0.0406112
7.86667	0.0405328
7.93333	0.0598901
8	0.0395323
8.06667	0.0404297
8.13333	0.0447207
8.2	0.0425484
8.26667	0.0441498
8.33333	0.045302
8.4	0.0432028
8.46667	0.0416157
8.53333	0.0439591
8.6	0.043097
8.66667	0.0465468
8.73333	0.0446318
8.8	0.0412944
8.86667	0.0444738
8.93333	0.0429429
9	0.0456155
9.06667	0.045588
9.13333	0.0446214
9.2	0.044415
9.26667	0.0338631
9.33333	0.0451034
9.4	0.0472927
9.46667	0.0484265
9.53333	0.047098
9.6	0.0663756
9.66667	0.048561
9.73333	0.045925
9.8	0.0389
9.86667	0.0420389
9.93333	0.0409143
10	0.0441041
10.0667	0.0387733
10.1333	0.0344862
10.2	0.035607
10.2667	0.0337443
10.3333	0.027938
10.4	0.037471
10.4667	0.0355443
10.5333	0.0402246
10.6	0.0359009
10.6667	0.0375546
10.7333	0.0380144
10.8	0.0368819
10.8667	0.0348454
10.9333	0.0515785
11	0.0380418
11.0667	0.0364286
11.1333	0.0327359
11.2	0.0369772
11.2667	0.0670066
11.3333	0.040316
11.4	0.0340042
11.4667	0.0438442
11.5333	0.0300371
11.6	0.0304395
11.6667	0.0428449
11.7333	0.0441407
11.8	0.0384337
11.8667	0.0410122
11.9333	0.0371993
12	0.041506
12.0667	0.0397465
12.1333	0.023937
12.2	0.0434183
12.2667	0.036443
12.3333	0.0294141
12.4	0.0322369
12.4667	0.0407183
12.5333	0.0183985
12.6	0.0206139
12.6667	0.0337299
12.7333	0.0180719
12.8	0.0221971
12.8667	0.015206
12.9333	0.0502657
13	0.0294781
13.0667	0.0188113
13.1333	0.0228045
13.2	0.0246371
13.2667	0.0137443
13.3333	0.017266
13.4	0.0190085
13.4667	0.0209548
13.5333	0.0215047
13.6	0.0183867
13.6667	0.0165292
13.7333	0.0176252
13.8	0.0171615
13.8667	0.0131082
13.9333	0.012331
14	0.0142407
14.0667	0.0203997
14.1333	0.0165684
14.2	0.00965447
14.2667	0.0135053
14.3333	0.0199059
14.4	0.0235934
14.4667	0.0170674
14.5333	0.0235164
14.6	0.0647102
14.6667	0.0378263
14.7333	0.020559
14.8	0.0154046
14.8667	0.019885
14.9333	0.0251844
15	0.0158722
15.0667	0.0241408
15.1333	0.0265808
15.2	0.0211442
15.2667	0.0203552
15.3333	0.0276911
15.4	0.0190412
15.4667	0.0185631
15.5333	0.0207759
15.6	0.0164561
15.6667	0.0141205
15.7333	0.0199464
15.8	0.016494
15.8667	0.0111318
15.9333	0.0166494
16	0.0116778
16.0667	0.0124472
16.1333	0.0115185
16.2	0.0088668
16.2667	0.0346796
16.3333	0.0184729
16.4	0.0207915
16.4667	0.0183645
16.5333	0.0161883
16.6	0.0179661
16.6667	0.0135915
16.7333	0.0105336
16.8	0.00682253
16.8667	0.0143739
16.9333	0.0148612
17	0.0126993
17.0667	0.0167814
17.1333	0.0158108
17.2	0.0119809
17.2667	0.0123271
17.3333	0.0163725
17.4	0.0199895
17.4667	0.0122186
17.5333	0.0198706
17.6	0.0158565
17.6667	0.0119143
17.7333	0.0148259
17.8	0.0125974
17.8667	0.0141989
17.9333	0.0484069
18	0.0291541
18.0667	0.0137313
18.1333	0.0191012
18.2	0.00976028
18.2667	0.00841223
18.3333	0.00921557
18.4	0.0067337
18.4667	0.00586897
18.5333	0.0078205
18.6	0.00809743
18.6667	0.00770163
18.7333	0.00983081
18.8	0.00970411
18.8667	0.010254
18.9333	0.0122369
19	0.0116465
19.0667	0.0134622
19.1333	0.012762
19.2	0.0116713
19.2667	0.012907
19.3333	0.0175507
19.4	0.015223
19.4667	0.0126732
19.5333	0.0107569
19.6	0.0297276
19.6667	0.0137574
19.7333	0.0260858
19.8	0.0223081
19.8667	0.0190359
19.9333	0.0231376
20	0.0174018
20.0667	0.0148899
20.1333	0.0169224
20.2	0.0150401
20.2667	0.00642804
20.3333	0.0133368
20.4	0.0120018
20.4667	0.0105257
20.5333	0.00952515
20.6	0.00805432
20.6667	0.0103063
20.7333	0.00821499
20.8	0.00706418
20.8667	0.0121546
20.9333	0.00648029
21	0.0116465
21.0667	0.0166063
21.1333	0.0225092
21.2	0.0135654
21.2667	0.0505178
21.3333	0.0311657
21.4	0.0260727
21.4667	0.0211312
21.5333	0.0159166
21.6	0.0256926
21.6667	0.0205303
21.7333	0.0327541
21.8	0.0225393
21.8667	0.0219254
21.9333	0.0168101
22	0.0313107
22.0667	0.0251557
22.1333	0.0142956
22.2	0.0147619
22.2667	0.0170622
22.3333	0.0159741
22.4	0.0114754
22.4667	0.0124668
22.5333	0.0149317
22.6	0.0187499
22.6667	0.0095552
22.7333	0.00904837
22.8	0.0135001
22.8667	0.0131173
22.9333	0.0489307
23	0.0307504
23.0667	0.0265978
23.1333	0.0306655
23.2	0.0212931
23.2667	0.0211939
23.3333	0.0206309
23.4	0.0178825
23.4667	0.017974
23.5333	0.0341714
23.6	0.0359362
23.6667	0.0242727
23.7333	0.0231336
23.8	0.0131644
23.8667	0.0124381
23.9333	0.0183371
24	0.0152034
24.0667	0.011414
24.1333	0.0137012
24.2	0.0202142
24.2667	0.0105754
24.3333	0.0151237
24.4	0.0109934
24.4667	0.0132362
24.5333	0.0137156
24.6	0.0418574
24.6667	0.0260466
24.7333	0.0207171
24.8	0.0204219
24.8667	0.0250603
24.9333	0.017492
25	0.0111606
25.0667	0.0211743
25.1333	0.016558
25.2	0.0190608
25.2667	0.0126967
25.3333	0.0108784
25.4	0.00826854
25.4667	0.00815359
25.5333	0.0110221
25.6	0.0105675
25.6667	0.0118934
25.7333	0.0124107
25.8	0.0116844
25.8667	0.0135053
25.9333	0.0212879
26	0.015402
26.0667	0.0165867
26.1333	0.02006
26.2	0.0153863
26.2667	0.0370243
26.3333	0.0282371
26.4	0.0208124
26.4667	0.0251165
26.5333	0.0270929
26.6	0.0225301
26.6667	0.0224714
26.7333	0.0224583
26.8	0.0221592
26.8667	0.0203134
26.9333	0.0251714
27	0.0227561
27.0667	0.0198327
27.1333	0.0269818
27.2	0.0198889
27.2667	0.025656
27.3333	0.0307882
27.4	0.0260257
27.4667	0.0304408
27.5333	0.03347
27.6	0.0351707
27.6667	0.0347501
27.7333	0.0372751
27.8	0.0380836
27.8667	0.0397021
27.9333	0.0800442
28	0.0592448
28.0667	0.0504616
28.1333	0.0596459
28.2	0.0543138
28.2667	0.053837
28.3333	0.0503114
28.4	0.0592422
28.4667	0.0534085
28.5333	0.0611428
28.6	0.0575846
28.6667	0.067819
28.7333	0.0643758
28.8	0.0632602
28.8667	0.0700815
28.9333	0.0678608
29	0.0734372
29.0667	0.073321
29.1333	0.0761921
29.2	0.0732596
29.2667	0.0779294
29.3333	0.0802375
29.4	0.0794904
29.4667	0.0795975
29.5333	0.080184
29.6	0.100473
29.6667	0.0924784
29.7333	0.0812577
29.8	0.0840818
29.8667	0.0840087
29.9333	0.0864997
30	0.0864931
30.0667	0.0821342
30.1333	0.0773128
30.2	0.0799959
30.2667	0.0839316
30.3333	0.0788411
30.4	0.0817084
30.4667	0.0794681
30.5333	0.077335
30.6	0.0886236
30.6667	0.0837095
30.7333	0.0771744
30.8	0.0791037
30.8667	0.0802819
30.9333	0.0770555
31	0.0835123
31.0667	0.085021
31.1333	0.0780378
31.2	0.08041
31.2667	0.096593
31.3333	0.096597
31.4	0.0813439
31.4667	0.0806542
31.5333	0.0831269
31.6	0.0731903
31.6667	0.0764677
31.7333	0.0746102
31.8	0.0795113
31.8667	0.0803094
31.9333	0.0743385
32	0.076486
32.0667	0.0490561
32.1333	0.0826959
32.2	0.0741178
32.2667	0.0605445
32.3333	0.0533275
32.4	0.0845651
32.4667	0.0739466
32.5333	0.0412395
32.6	0.0778092
32.6667	0.0722551
32.7333	0.0652784
32.8	0.0812355
32.8667	0.0703675
32.9333	0.0618338
33	0.0800651
33.0667	0.0186859
33.1333	0.0116321
33.2	0.00454443
33.2667	0.00535823
33.3333	0.0091803
33.4	0.00728233
33.4667	0.0107726
33.5333	0.0128874
33.6	0.0128443
33.6667	0.01556
33.7333	0.0164287
33.8	0.0161282
33.8667	0.0196486
33.9333	0.0190229
34	0.0225785
34.0667	0.0161204
34.1333	0.0220952
34.2	0.0182796
34.2667	0.0232943
34.3333	0.0234955
34.4	0.0190438
34.4667	0.0207876
34.5333	0.0200679
34.6	0.0493996
34.6667	0.020256
34.7333	0.0275605
34.8	0.0197426
34.8667	0.0224479
34.9333	0.025626
35	0.0217568
35.0667	0.0262307
35.1333	0.0234328
35.2	0.021783
35.2667	0.0242857
35.3333	0.0242387
35.4	0.0225576
35.4667	0.0271791
35.5333	0.0285297
35.6	0.0252445
35.6667	0.0261563
35.7333	0.0255424
35.8	0.0264476
35.8667	0.0260074
35.9333	0.0300097
36	0.0260701
36.0667	0.026748
36.1333	0.0271934
36.2	0.032715
36.2667	0.0663116
36.3333	0.0415439
36.4	0.0338645
36.4667	0.0334086
36.5333	0.0423355
36.6	0.0334242
36.6667	0.0352556
36.7333	0.0380627
36.8	0.0377192
36.8667	0.0332401
36.9333	0.0325856
37	0.0338984
37.0667	0.0354907
37.1333	0.0329174
37.2	0.0374893
37.2667	0.0405368
37.3333	0.0335954
37.4	0.0391796
37.4667	0.0446083
37.5333	0.0405119
37.6	0.085119
37.6667	0.0706092
37.7333	0.0651478
37.8	0.0953103
37.8667	0.0531016
37.9333	0.068723
38	0.0863233
38.0667	0.0742928
38.1333	0.0382234
38.2	0.0749289
38.2667	0.0375703
38.3333	0.0379804
38.4	0.026266
38.4667	0.0134282
38.5333	0.016733
38.6	0.0189118
38.6667	0.0239095
38.7333	0.0197753
38.8	0.039804
38.8667	0.0489372
38.9333	0.0440976
39	0.0282593
39.0667	0.0478086
39.1333	0.0403944
39.2	0.0371183
39.2667	0.0307282
39.3333	0.0352517
39.4	0.0487113
39.4667	0.0268159
39.5333	0.022538
39.6	0.0644385
39.6667	0.0310417
39.7333	0.0323009
39.8	0.0294676
39.8667	0.0279014
39.9333	0.0366037
40	0.0264698
40.0667	0.0276467
40.1333	0.0307216
40.2	0.0258023
40.2667	0.0280895
40.3333	0.0334856
40.4	0.0292129
40.4667	0.0275056
40.5333	0.0292704
40.6	0.0289347
40.6667	0.0340891
40.7333	0.0346665
40.8	0.0332714
40.8667	0.0334047
40.9333	0.0325987
41	0.0345359
41.0667	0.0372137
41.1333	0.0360733
41.2	0.036456
41.2667	0.0749159
41.3333	0.0398105
41.4	0.0365018
41.4667	0.0400822
41.5333	0.026027
41.6	0.0393677
41.6667	0.0383619
41.7333	0.034805
41.8	0.0401645
41.8667	0.0426842
