time_sec	dynamic_density
0.0666667	0.201408
0.133333	0.171423
0.2	0.160674
0.266667	0.12918
0.333333	0.120945
0.4	0.109253
0.466667	0.123837
0.533333	0.116797
0.6	0.124089
0.666667	0.126163
0.733333	0.140558
0.8	0.136598
0.866667	0.136346
0.933333	0.125471
1	0.143576
1.06667	0.138484
1.13333	0.136284
1.2	0.139804
1.26667	0.172303
1.33333	0.143827
1.4	0.142821
1.46667	0.145399
1.53333	0.140684
1.6	0.155142
1.66667	0.160611
1.73333	0.163125
1.8	0.170417
1.86667	0.173686
1.93333	0.182738
2	0.175383
2.06667	0.188962
2.13333	0.183933
2.2	0.187516
2.26667	0.188019
2.33333	0.189087
2.4	0.184561
2.46667	0.183807
2.53333	0.192859
2.6	0.181481
2.66667	0.184687
2.73333	0.168532
2.8	0.179281
2.86667	0.179784
2.93333	0.334423
3	0.191036
3.06667	0.18695
3.13333	0.145336
3.2	0.150302
3.26667	0.182801
3.33333	0.183367
3.4	0.119311
3.46667	0.154262
3.53333	0.145399
3.6	0.132072
3.66667	0.105167
3.73333	0.098001
3.8	0.157908
3.86667	0.120694
3.93333	0.0813427
4	0.0866859
4.06667	0.0809656
4.13333	0.11051
4.2	0.136787
4.26667	0.0556952
4.33333	0.0944808
4.4	0.0688333
4.46667	0.0469575
4.53333	0.0465803
4.6	0.295826
4.66667	0.103973
4.73333	0.0604099
4.8	0.0507292
4.86667	0.054878
4.93333	0.0971209
5	0.0709077
5.06667	0.0649987
5.13333	0.0524265
5.2	0.126289
5.26667	0.104539
5.33333	0.10127
5.4	0.0932864
5.46667	0.105984
5.53333	0.105356
5.6	0.110762
5.66667	0.125471
5.73333	0.122768
5.8	0.135215
5.86667	0.161302
5.93333	0.150365
6	0.174378
6.06667	0.174441
6.13333	0.18387
6.2	0.198642
6.26667	0.365979
6.33333	0.232022
6.4	0.235479
6.46667	0.189904
6.53333	0.216809
6.6	0.211152
6.66667	0.217815
6.73333	0.235542
6.8	0.215615
6.86667	0.22913
6.93333	0.228124
7	0.219324
7.06667	0.223975
7.13333	0.233342
7.2	0.247046
7.26667	0.254589
7.33333	0.239691
7.4	0.240885
7.46667	0.269047
7.53333	0.236045
7.6	0.268544
7.66667	0.269298
7.73333	0.264207
7.8	0.27131
7.86667	0.291489
7.93333	0.450151
8	0.306701
8.06667	0.298089
8.13333	0.310913
8.2	0.305758
8.26667	0.316885
8.33333	0.300478
8.4	0.292557
8.46667	0.300855
8.53333	0.301484
8.6	0.310976
8.66667	0.325622
8.73333	0.275585
8.8	0.295512
8.86667	0.285454
8.93333	0.290231
9	0.300541
9.06667	0.30777
9.13333	0.263264
9.2	0.308273
9.26667	0.27439
9.33333	0.332411
9.4	0.318205
9.46667	0.285768
9.53333	0.288031
9.6	0.377546
9.66667	0.271561
9.73333	0.212786
9.8	0.283568
9.86667	0.303432
9.93333	0.297649
10	0.309027
10.0667	0.291111
10.1333	0.251697
10.2	0.310033
10.2667	0.231204
10.3333	0.271059
10.4	0.247486
10.4667	0.233279
10.5333	0.268293
10.6	0.264081
10.6667	0.28602
10.7333	0.245223
10.8	0.23529
10.8667	0.24736
10.9333	0.304124
11	0.255532
11.0667	0.253897
11.1333	0.241262
11.2	0.231959
11.2667	0.426955
11.3333	0.267664
11.4	0.264647
11.4667	0.199397
11.5333	0.334549
11.6	0.204677
11.6667	0.191413
11.7333	0.22253
11.8	0.252703
11.8667	0.223032
11.9333	0.214483
12	0.21046
12.0667	0.138987
12.1333	0.1239
12.2	0.167463
12.2667	0.255595
12.3333	0.180915
12.4	0.162434
12.4667	0.233656
12.5333	0.149547
12.6	0.218318
12.6667	0.150867
12.7333	0.0611642
12.8	0.0971209
12.8667	0.085743
12.9333	0.509618
13	0.0509806
13.0667	0.0870003
13.1333	0.163377
13.2	0.197699
13.2667	0.0918406
13.3333	0.147662
13.4	0.101647
13.4667	0.161428
13.5333	0.269173
13.6	0.179532
13.6667	0.109002
13.7333	0.141187
13.8	0.110636
13.8667	0.109127
13.9333	0.138547
14	0.133141
14.0667	0.19179
14.1333	0.299283
14.2	0.131506
14.2667	0.171989
14.3333	0.139678
14.4	0.14697
14.4667	0.107179
14.5333	0.159354
14.6	0.394016
14.6667	0.161554
14.7333	0.269613
14.8	0.157091
14.8667	0.159417
14.9333	0.109945
15	0.111076
15.0667	0.18695
15.1333	0.167023
15.2	0.197636
15.2667	0.121134
15.3333	0.133769
15.4	0.0661931
15.4667	0.048529
15.5333	0.124969
15.6	0.0820342
15.6667	0.0597812
15.7333	0.0402313
15.8	0.0514207
15.8667	0.0515464
15.9333	0.132386
16	0.0791426
16.0667	0.0389112
16.1333	0.0707191
16.2	0.0413
16.2667	0.0396656
16.3333	0.0483405
16.4	0.0336937
16.4667	0.0383455
16.5333	0.0374026
16.6	0.0419915
16.6667	0.0500377
16.7333	0.0564496
16.8	0.0506035
16.8667	0.0602213
16.9333	0.0307393
17	0.048089
17.0667	0.0343224
17.1333	0.12126
17.2	0.0340709
17.2667	0.0720392
17.3333	0.134461
17.4	0.109505
17.4667	0.0819713
17.5333	0.139615
17.6	0.0534951
17.6667	0.0778853
17.7333	0.099384
17.8	0.0335052
17.8667	0.0861202
17.9333	0.5
18	0.134209
18.0667	0.0664446
18.1333	0.153508
18.2	0.0698391
18.2667	0.0660045
18.3333	0.0432487
18.4	0.0593412
18.4667	0.051735
18.5333	0.056261
18.6	0.0542494
18.6667	0.037214
18.7333	0.0512321
18.8	0.0664446
18.8667	0.0610385
18.9333	0.084863
19	0.0754337
19.0667	0.0747423
19.1333	0.10171
19.2	0.0783254
19.2667	0.0745537
19.3333	0.0922806
19.4	0.0812799
19.4667	0.0980639
19.5333	0.0699019
19.6	0.134712
19.6667	0.0909605
19.7333	0.109693
19.8	0.0710334
19.8667	0.0753709
19.9333	0.0803369
20	0.0648102
20.0667	0.0612271
20.1333	0.0881318
20.2	0.0670732
20.2667	0.0739251
20.3333	0.109002
20.4	0.0631758
20.4667	0.0363968
20.5333	0.104224
20.6	0.0619185
20.6667	0.0770681
20.7333	0.107305
20.8	0.0936636
20.8667	0.118557
20.9333	0.0685818
21	0.0831028
21.0667	0.177018
21.1333	0.202477
21.2	0.14213
21.2667	0.30865
21.3333	0.31525
21.4	0.140621
21.4667	0.171612
21.5333	0.124214
21.6	0.190344
21.6667	0.169977
21.7333	0.21354
21.8	0.216055
21.8667	0.184813
21.9333	0.117865
22	0.166897
22.0667	0.147159
22.1333	0.192607
22.2	0.106864
22.2667	0.148982
22.3333	0.0545009
22.4	0.144267
22.4667	0.16476
22.5333	0.143764
22.6	0.12962
22.6667	0.049912
22.7333	0.0411114
22.8	0.0461403
22.8667	0.0346995
22.9333	0.34907
23	0.036774
23.0667	0.044443
23.1333	0.0606613
23.2	0.0443173
23.2667	0.0472718
23.3333	0.0627986
23.4	0.0641187
23.4667	0.0524893
23.5333	0.102338
23.6	0.0743651
23.6667	0.0865602
23.7333	0.0864974
23.8	0.0585869
23.8667	0.0561981
23.9333	0.125974
24	0.0655016
24.0667	0.0719764
