time_sec	dynamic_density
0.0666667	0.0699613
0.2	0.0656389
0.333333	0.0385996
0.466667	0.0375651
0.6	0.0438076
0.733333	0.0454652
0.866667	0.056277
1	0.0627273
1.13333	0.0629193
1.26667	0.0629546
1.4	0.0622923
1.53333	0.0664971
1.66667	0.0729905
1.8	0.0835789
1.93333	0.0929604
2.06667	0.112354
2.2	0.107162
2.33333	0.101966
2.46667	0.099924
2.6	0.0810396
2.73333	0.0755964
2.86667	0.0789548
3	0.0830773
3.13333	0.0720852
3.26667	0.0684291
3.4	0.0660896
3.53333	0.0189354
3.66667	0.0597138
3.8	0.0334504
3.93333	0.0342616
4.06667	0.0316752
4.2	0.0297197
4.33333	0.0247194
4.46667	0.025174
4.6	0.0316086
4.73333	0.0265456
4.86667	0.0281679
5	0.026283
5.13333	0.0373456
5.26667	0.0406922
5.4	0.0532596
5.53333	0.0660269
5.66667	0.0700553
5.8	0.0697967
5.93333	0.0771091
6.06667	0.0893238
6.2	0.0907541
6.33333	0.101911
6.46667	0.0888143
6.6	0.0864513
6.73333	0.0867609
6.86667	0.0888222
7	0.0882657
7.13333	0.105587
7.26667	0.0955271
7.4	0.0990305
7.53333	0.106155
7.66667	0.0999592
7.8	0.118691
7.93333	0.137277
8.06667	0.110081
8.2	0.134609
8.33333	0.133045
8.46667	0.140691
8.6	0.136098
8.73333	0.136972
8.86667	0.138449
9	0.12781
9.13333	0.145044
9.26667	0.139907
9.4	0.141388
9.53333	0.137912
9.66667	0.156801
9.8	0.116124
9.93333	0.120607
10.0667	0.120211
10.2	0.100453
10.3333	0.0882344
10.4667	0.119279
10.6	0.119087
10.7333	0.112958
10.8667	0.114686
11	0.111449
11.1333	0.11063
11.2667	0.160441
11.4	0.112323
11.5333	0.0981174
11.6667	0.0932073
11.8	0.108451
11.9333	0.117061
12.0667	0.0837513
12.2	0.101515
12.3333	0.0840139
12.4667	0.0972005
12.6	0.0410331
12.7333	0.0611872
12.8667	0.0492115
13	0.091338
13.1333	0.0564181
13.2667	0.0280503
13.4	0.0347436
13.5333	0.0399085
13.6667	0.0216628
13.8	0.0200992
13.9333	0.0329135
14.0667	0.0286578
14.2	0.0236261
14.3333	0.0298334
14.4667	0.04128
14.6	0.185157
14.7333	0.0417699
14.8667	0.0318868
15	0.0289164
15.1333	0.0581463
15.2667	0.0310952
15.4	0.021941
15.5333	0.0318437
15.6667	0.0251857
15.8	0.0211416
15.9333	0.0318476
16.0667	0.0198641
16.2	0.0139664
16.3333	0.023583
16.4667	0.0151067
16.6	0.0201541
16.7333	0.0160982
16.8667	0.0109372
17	0.0114702
17.1333	0.0109215
17.2667	0.0157142
17.4	0.0399672
17.5333	0.0413388
17.6667	0.0209261
17.8	0.0209457
17.9333	0.0882069
18.0667	0.0203304
18.2	0.0204715
18.3333	0.0219881
18.4667	0.0126027
18.6	0.0142838
18.7333	0.0130024
18.8667	0.0260596
19	0.0298373
19.1333	0.0322865
19.2667	0.0257383
19.4	0.0230696
19.5333	0.0208869
19.6667	0.0357115
19.8	0.0360132
19.9333	0.0193586
20.0667	0.0197936
20.2	0.0110744
